modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
16.7,158.02443,146.46068,2.04512,20.89731,0.01634,0.47095,6.41288,0.00000,2.98327,3.16848,160.00,160.00,0.00,0.00
16.8,158.07018,146.40865,2.00387,20.98206,0.01562,0.46632,6.36416,0.00000,2.95919,3.14480,160.00,160.00,0.00,0.00
16.9,158.11464,146.35621,1.96374,21.06705,0.01493,0.46179,6.31564,0.00000,2.93530,3.12128,160.00,160.00,0.00,0.00
17.0,158.15787,146.30339,1.92469,21.15227,0.01428,0.45735,6.26731,0.00000,2.91161,3.09793,160.00,160.00,0.00,0.00
17.1,158.19988,146.25018,1.88670,21.23773,0.01366,0.45299,6.21919,0.00000,2.88811,3.07473,160.00,160.00,0.00,0.00
17.2,158.24072,146.19659,1.84973,21.32342,0.01307,0.44873,6.17128,0.00000,2.86479,3.05169,160.00,160.00,0.00,0.00
17.3,158.28041,146.14264,1.81375,21.40935,0.01252,0.44454,6.12357,0.00000,2.84167,3.02882,160.00,160.00,0.00,0.00
17.4,158.31900,146.08832,1.77874,21.49551,0.01199,0.44044,6.07609,0.00000,2.81873,3.00609,160.00,160.00,0.00,0.00
17.5,158.35650,146.03365,1.74467,21.58190,0.01148,0.43642,6.02883,0.00000,2.79598,2.98353,160.00,160.00,0.00,0.00
17.6,158.39296,145.97863,1.71151,21.66852,0.01100,0.43248,5.98180,0.00000,2.77341,2.96112,160.00,160.00,0.00,0.00
17.7,158.42839,145.92326,1.67923,21.75538,0.01055,0.42861,5.93500,0.00000,2.75103,2.93887,160.00,160.00,0.00,0.00
17.8,158.46284,145.86756,1.64782,21.84246,0.01011,0.42482,5.88843,0.00000,2.72883,2.91678,160.00,160.00,0.00,0.00
17.9,158.49632,145.81153,1.61724,21.92978,0.00970,0.42111,5.84210,0.00000,2.70680,2.89484,160.00,160.00,0.00,0.00
18.0,158.52887,145.75516,1.58747,22.01733,0.00930,0.41746,5.79601,0.00000,2.68496,2.87305,160.00,160.00,0.00,0.00
18.1,158.56052,145.69847,1.55849,22.10511,0.00893,0.41389,5.75017,0.00000,2.66329,2.85141,160.00,160.00,0.00,0.00
18.2,158.59128,145.64147,1.53028,22.19312,0.00857,0.41038,5.70458,0.00000,2.64180,2.82993,160.00,160.00,0.00,0.00
18.3,158.62118,145.58414,1.50281,22.28136,0.00823,0.40695,5.65923,0.00000,2.62049,2.80860,160.00,160.00,0.00,0.00
18.4,158.65025,145.52651,1.47606,22.36983,0.00791,0.40357,5.61414,0.00000,2.59934,2.78742,160.00,160.00,0.00,0.00
18.5,158.67852,145.46857,1.45001,22.45853,0.00760,0.40027,5.56930,0.00000,2.57837,2.76639,160.00,160.00,0.00,0.00
18.6,158.70600,145.41033,1.42465,22.54745,0.00731,0.39702,5.52472,0.00000,2.55757,2.74550,160.00,160.00,0.00,0.00
18.7,158.73272,145.35178,1.39994,22.63661,0.00703,0.39384,5.48040,0.00000,2.53693,2.72477,160.00,160.00,0.00,0.00
18.8,158.75870,145.29294,1.37588,22.72599,0.00676,0.39072,5.43634,0.00000,2.51647,2.70418,160.00,160.00,0.00,0.00
