minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
41,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.9530325228293999,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
42,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.9762772185081657,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
43,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.9995219141869316,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
44,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.0227666098656973,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
45,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.046011305544463,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
46,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.0692560012232288,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
47,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.0925006969019946,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
48,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.1157453925807603,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
49,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.138990088259526,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
50,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.1622347839382918,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
51,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.1854794796170576,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
52,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.2087241752958233,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
53,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.231968870974589,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
54,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.2552135666533548,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
55,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,1.2784582623321206,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
