minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW
206,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
207,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
208,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
209,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
210,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
211,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
212,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
213,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
214,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
215,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
216,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
217,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
218,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
219,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
220,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
221,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
222,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
223,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
224,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
225,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
226,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
227,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
228,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
229,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
230,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
231,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
232,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
233,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
234,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
235,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
236,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
237,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
238,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
239,592.6983992293208,4,4,0,0,0,0,588.6983992293208,100,0,true,0,592.6983992293208,4,0,0
240,0,0,0,0,0,0,0,0,100,0,true,0,0,0,0,0
