input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
3.775,0.0002490750022665825,0.021818181818181816,0.20000000000000018,3.775,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.8,0.00025110000228501,0.021818181818181816,0.20000000000000018,3.8,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.825,0.0002531250023034375,0.021818181818181816,0.20000000000000018,3.825,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.85,0.000255150002321865,0.021818181818181816,0.20000000000000018,3.85,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.875,0.0002571750023402925,0.021818181818181816,0.20000000000000018,3.875,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.9,0.00025920000235872,0.021818181818181816,0.20000000000000018,3.9,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.925,0.0002612250023771475,0.021818181818181816,0.20000000000000018,3.925,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.95,0.000263250002395575,0.021818181818181816,0.20000000000000018,3.95,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
3.975,0.0002652750024140025,0.021818181818181816,0.20000000000000018,3.975,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4,0.00026730000243243,0.021818181818181816,0.20000000000000018,4,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.025,0.0002693250024508575,0.021818181818181816,0.20000000000000018,4.025,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.05,0.000271350002469285,0.021818181818181816,0.20000000000000018,4.05,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.075,0.00027337500248771253,0.021818181818181816,0.20000000000000018,4.075,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.1,0.00027540000250613996,0.021818181818181816,0.20000000000000018,4.1,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.125,0.0002774250025245675,0.021818181818181816,0.20000000000000018,4.125,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
4.15,0.00027945000254299505,0.021818181818181816,0.20000000000000018,4.15,saturated,manual,5,12345.6789,220,,100,0.7,0.2,,
