relative_light_level,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
83,0.000016746346838783075,0.0016746346838783074,4.631580369546772,0.8674634683878307,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
83.5,0.000015363187401101393,0.0015363187401101392,4.66200987717577,0.8536318740110139,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
84,0.000013992738672868533,0.0013992738672868534,4.692159749196892,0.8399273867286853,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
84.5,0.000012635184496080307,0.0012635184496080306,4.722025941086233,0.826351844960803,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
85,0.00001129069849879683,0.001129069849879683,4.75160463302647,0.8129069849879683,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
85.5,0.00000995944412201526,0.000995944412201526,4.780892229315664,0.7995944412201526,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
86,0.000008641574660886482,0.0008641574660886482,4.809885357460497,0.7864157466088648,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
86.5,0.0000073372333198033185,0.0007337233319803318,4.838580866964327,0.7733723331980331,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
87,0.000006046553280865069,0.0006046553280865069,4.866975827820968,0.7604655328086506,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
87.5,0.000004769657785202275,0.0004769657785202275,4.89506752872555,0.7476965778520227,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
88,0.0000035066602266278722,0.00035066602266278725,4.922853475014187,0.7350666022662787,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
88.5,0.0000022576642570649584,0.00022576642570649585,4.950331386344571,0.7225766425706496,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
89,0.0000010227639031887465,0.00010227639031887464,4.977499194129847,0.7102276390318875,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
89.5,0,0,5,0.6977441912114396,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
90,0,0,5,0.68403444301605,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
90.5,0,0,5,0.6705520877247806,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
91,0,0,5,0.6572950001207413,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
91.5,0,0,5,0.6442610079772222,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
92,0,0,5,0.6314478952745931,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
92.5,0,0,5,0.618853405344677,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
93,0,0,5,0.6064752439407426,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
93.5,0,0,5,0.5943110822315086,cutoff,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
