"RepresentativePath","TopArea","Extension","Lines","Bytes","DuplicateCount","DuplicatePaths","Sha256"
"dev-tools/check_lti_surface.cjs","dev-tools",".cjs","196","8754",,"dev-tools/check_lti_surface.cjs","79784E5305F03B084E733A034F9CCBADE3A88E00C0210180EEBA6534388A237A"
"dev-tools/check_lumen_floor.cjs","dev-tools",".cjs","369","31523",,"dev-tools/check_lumen_floor.cjs","2AA2140984612F48BC44AC5E0B0F71CB09CAF7D437A9F50F9347F9DD96699D32"
"dev-tools/check_lumen_spine.cjs","dev-tools",".cjs","56","2775",,"dev-tools/check_lumen_spine.cjs","D48832670AF6CA0FF0FEE694EAB039DBE82D9A34BB8ABB6A552CDD07B187FE0B"
"dev-tools/check_main_placeholder.cjs","dev-tools",".cjs","125","5527",,"dev-tools/check_main_placeholder.cjs","9C0C4A07B6E9168A04A7AC27732F2F160528BC3129FFA1EBFAE7C074FE169937"
"dev-tools/check_module_render.cjs","dev-tools",".cjs","240","17140",,"dev-tools/check_module_render.cjs","AE1E462C64BC432BC0901B768CAD36C0C79320D71BA82D041566DBEAA4147789"
"dev-tools/check_no_discrepancy_persistence.cjs","dev-tools",".cjs","177","7183",,"dev-tools/check_no_discrepancy_persistence.cjs","07674C4C4B878698B4EAC04B79832A8621DB3D98B0BE29CF39A50C5AC15336D9"
"dev-tools/check_npm_audit.cjs","dev-tools",".cjs","132","5318",,"dev-tools/check_npm_audit.cjs","E0F0E5351BA1C06CBB3812D1695A7B8E6475CF521148331B910EC1F45ABE078D"
"dev-tools/check_pdf_pipeline.cjs","dev-tools",".cjs","203","8763",,"dev-tools/check_pdf_pipeline.cjs","EC4EFE6148C998B9AF608441530AB131D6700F6277C787A952E5BADC325DE2C6"
"dev-tools/check_pipeline_integrity.js","dev-tools",".js","117","4222",,"dev-tools/check_pipeline_integrity.js","065BA8EF75B700D11AC9DBA388374683D288DC0ADDBBC80952561CCAEEE08799"
"dev-tools/check_pipeline_tests.cjs","dev-tools",".cjs","84","5712",,"dev-tools/check_pipeline_tests.cjs","D85D3B15F67EF7617A3A1FD748452C3D794C5462D86C2C9B5FE1218D9721E833"
